epoch,accuracy,loss,val_accuracy,val_loss
0,0.8850184082984924,0.3684345781803131,0.8149999976158142,0.4094238877296448
1,0.9401654601097107,0.24443379044532776,0.6880000233650208,0.6018922328948975
2,0.9535845518112183,0.18934856355190277,0.8050000071525574,0.419290691614151
3,0.9676470756530762,0.13863156735897064,0.8497499823570251,0.37744784355163574
4,0.9708639979362488,0.11869361251592636,0.9129999876022339,0.22253066301345825
5,0.9782168865203857,0.0906032845377922,0.9104999899864197,0.2484990507364273
6,0.9810661673545837,0.07696313410997391,0.9409999847412109,0.16512954235076904
7,0.9852941036224365,0.06428268551826477,0.9402499794960022,0.1956692785024643
8,0.986948549747467,0.057653240859508514,0.9162499904632568,0.20792162418365479
9,0.9883272051811218,0.04897923767566681,0.9375,0.17959043383598328
10,0.9897977709770203,0.04338843375444412,0.909250020980835,0.2541595995426178
11,0.9892463088035583,0.04137169569730759,0.8497499823570251,0.4790118336677551
12,0.9888786673545837,0.0396052710711956,0.8977500200271606,0.3625231087207794
13,0.9906250238418579,0.03306831046938896,0.8682500123977661,0.4116968512535095
14,0.9914522171020508,0.030824916437268257,0.9537500143051147,0.14163421094417572
15,0.9906250238418579,0.031291671097278595,0.9449999928474426,0.15882761776447296
16,0.9928308725357056,0.025621769949793816,0.7645000219345093,0.7927640676498413
17,0.9941176176071167,0.02397511899471283,0.9472500085830688,0.14145728945732117
18,0.9912683963775635,0.03124280273914337,0.952750027179718,0.15257300436496735
19,0.995036780834198,0.017113972455263138,0.9652500152587891,0.09797156602144241
20,0.9944853186607361,0.018597612157464027,0.8492500185966492,0.6176079511642456
21,0.9954963326454163,0.016788817942142487,0.918749988079071,0.23347653448581696
22,0.995312511920929,0.017219051718711853,0.9457499980926514,0.24603420495986938
23,0.9952206015586853,0.017143113538622856,0.9507499933242798,0.15097753703594208
24,0.9941176176071167,0.01669539324939251,0.9179999828338623,0.26822546124458313
25,0.9954044222831726,0.015365628525614738,0.9455000162124634,0.1888941079378128
26,0.9963235259056091,0.012779978103935719,0.9542499780654907,0.1646147519350052
27,0.9957720637321472,0.014085410162806511,0.8832499980926514,0.39069902896881104
28,0.9967830777168274,0.010726861655712128,0.9622499942779541,0.11239780485630035
29,0.9970588088035583,0.010016116313636303,0.9572499990463257,0.1480855792760849
